Name,Close-to,Subdivision,Block Number,Lot Number,Lot Status,List Price,Size [sqft],Listing Agent,Listing Agent Phone Number,Listing Firm,Listing Link,Location
1304 Giuseppe Verdi Ave,Lake,Section 1,1,01,Sold,,,,,,,"26.04998, -97.55175"
1308 Giuseppe Verdi Ave,Lake,Section 1,1,02,Sold,,,,,,,"26.05021, -97.55231"
1312 Giuseppe Verdi Ave,Lake,Section 1,1,03,Sold,,,,,,,"26.05060, -97.55275"
1316 Giuseppe Verdi Ave,Lake,Section 1,1,04,Sold,,,,,,,"26.05081, -97.55261"
1320 Giuseppe Verdi Ave,Lake,Section 1,1,05,Sold,,,,,,,"26.05105, -97.55255"
1324 Giuseppe Verdi Ave,Lake,Section 1,1,06,Sold,,,,,,,"26.05130, -97.55249"
1328 Giuseppe Verdi Ave,Lake,Section 1,1,07,Sold,,,,,,,"26.05156, -97.55245"
1311 Giuseppe Verdi Ave,School,Section 1,2,01,Sold,,,,,,,"26.05063, -97.55300"
1315 Giuseppe Verdi Ave,School,Section 1,2,02,Sold,,,,,,,"26.05095, -97.55303"
1319 Giuseppe Verdi Ave,School,Section 1,2,03,Sold,,,,,,,"26.05115, -97.55296"
1323 Giuseppe Verdi Ave,School,Section 1,2,04,Sold,,,,,,,"26.05135, -97.55292"
1327 Giuseppe Verdi Ave,School,Section 1,2,05,Sold,,,,,,,"26.05156, -97.55288"
1332 Giuseppe Verdi Ave,Lake,Section 2,1,08,Listed,160000,16142,Ralph Burks,19567786702,Keller Williams Realty,https://kw.com/property/1332-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/1985632728121024,"26.0518, -97.5524"
1336 Giuseppe Verdi Ave,Lake,Section 2,1,09,Sold,140000,14103,Jose Nieto,19564554347,Keller Williams Realty,https://kw.com/property/1336-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/2043642608449870,"26.05206, -97.55236"
1340 Giuseppe Verdi Ave,Lake,Section 2,1,10,Listed,140000,13855,Patricia Montemayor,19562660260,Coldwell Banker,https://www.zillow.com/homedetails/LOT-10-Giuseppe-Verdi-Ave-Olmito-TX-78575/457179061_zpid,"26.0524, -97.5523"
1344 Giuseppe Verdi Ave,Lake,Section 2,1,11,Available,140000,13862,For Sale By Owner,19563055246,Lago Bello,https://www.lagobello.com/lots/1344-giuseppe-verdi-ave,"26.0526, -97.5524"
